model,seed,split,region,variable,metric_space,num_cases,MAE_mean,MAE_std,MAE_ci95,MAE_median,RMSE_mean,RMSE_std,RMSE_ci95,RMSE_median,R2_mean,R2_std,R2_ci95,R2_median
full_bagnn,0,test,interior,U,physical,160,3.023388519883156,1.7370896231338406,0.2691648257383762,2.1710848808288574,4.573110453784466,3.003630239417778,0.4654173274703349,3.192934989929199,0.874591417615559,0.14666231075025093,0.022725560494835373,0.9288738561332281
full_bagnn,0,test,interior,U,zscore,160,0.24115361082367598,0.13855494409542804,0.021469311016523687,0.17317157238721848,0.36476360112428663,0.23957763585650235,0.03712293928150364,0.25467708706855774,0.8745914193843503,0.14666230739046973,0.02272555997423188,0.9288738656113213
full_bagnn,0,test,interior,V,physical,160,1.116623636521399,0.6981314758966035,0.10817659293432222,0.8604552149772644,2.284412644058466,1.9497851337667969,0.30212233656131865,1.395419716835022,0.9246852420908935,0.09853164539652587,0.015267636631796247,0.9668815440895833
full_bagnn,0,test,interior,V,zscore,160,0.1310535276774317,0.08193682140175984,0.012696242013335583,0.10098809376358986,0.26811212836764753,0.22883827560327033,0.03545885816985214,0.16377468407154083,0.9246852406586429,0.09853164847982013,0.015267637109557643,0.9668815458746277
full_bagnn,0,train,airfoil,Cp,physical,4394,0.07526992370184167,0.03610008362559434,0.0010674173386523798,0.06905173882842064,0.1387882444805783,0.07841083219465105,0.002318473350111382,0.1194329671561718,0.9625118521900287,0.0532610387417868,0.0015748372446237893,0.9744878786524003
full_bagnn,0,train,airfoil,Cp,zscore,4394,0.1053809289132492,0.050541572811503746,0.0014944273177115834,0.09667522087693214,0.19430913932241659,0.10977832598249952,0.003245956152823838,0.16721096634864807,0.9625118527381872,0.05326103789182561,0.0015748372194918996,0.974487877942726
full_bagnn,0,train,airfoil,U,physical,4394,0.0873877762074586,0.022197991010654155,0.0006563563878068942,0.08694038540124893,0.15527162399070069,0.036308132611516275,0.001073568989079712,0.16541066020727158,nan,0.0,0.0,nan
full_bagnn,0,train,airfoil,U,zscore,4394,0.006970296721809243,0.0017705729088124131,5.235279346761993e-05,0.0069346074014902115,0.012384889851793524,0.0028960346953247865,8.563076139072643e-05,0.013193600811064243,-2845898580.6541924,1176293387.1240468,34780970.863683745,-3062291054.304348
full_bagnn,0,train,airfoil,V,physical,4394,0.030855729845324916,0.01141374890667753,0.00033748491023922545,0.027004804462194443,0.05643964161766582,0.014149565717283059,0.0004183783045400237,0.052009936422109604,nan,0.0,0.0,nan
full_bagnn,0,train,airfoil,V,zscore,4394,0.003621409867147707,0.0013395846026944896,3.960921105717566e-05,0.003169441712088883,0.006624088341049752,0.0016606764610562893,4.9103344657256945e-05,0.0061041919980198145,nan,0.0,0.0,nan
full_bagnn,0,train,farfield,Cp,physical,4394,0.009505976497843814,0.0029756349918835553,8.798440515482179e-05,0.00917999166995287,0.013041404574646576,0.004124414986935499,0.0001219518523699874,0.012010670732706785,-0.5091193314665322,5.236208647521273,0.15482567733452762,0.4248373376885091
full_bagnn,0,train,farfield,Cp,zscore,4394,0.013308750652666995,0.004166009030844923,0.00012318171665822716,0.012852358166128397,0.018258492445380758,0.005774347406700032,0.00017073751421850183,0.016815422102808952,-0.5091193345718982,5.236209184717978,0.1548256932185096,0.4248371367982241
full_bagnn,0,train,farfield,U,physical,4394,0.20020010331827887,0.03871179584598749,0.0011446411738249237,0.18784020841121674,0.25415823609993354,0.04763450354230851,0.0014084702829638169,0.2392306551337242,-3.041286783248305,13.644195296745519,0.4034353710299927,-0.41075555072157033
full_bagnn,0,train,farfield,U,zscore,4394,0.01596850783996111,0.0030877578791580944,9.129968594967725e-05,0.014982631895691156,0.02027235586623482,0.0037994573673866107,0.00011234341486521204,0.01908169686794281,-3.041293392592265,13.64422557509402,0.40343626630864393,-0.4107567618360818
full_bagnn,0,train,farfield,V,physical,4394,0.1837355615092127,0.03783252406445973,0.0011186426206158924,0.17959805577993393,0.23626006657107612,0.0491752725585472,0.0014540281708581683,0.2337694838643074,-1.7034273293310869,19.890167818764695,0.5881180281644147,0.2251658660041163
full_bagnn,0,train,farfield,V,zscore,4394,0.021564284953575718,0.004440245836802982,0.00013129042700394896,0.021078678779304028,0.02772887045467543,0.005771498202119843,0.00017065326814301338,0.02743656001985073,-1.7034324034349655,19.890283843870737,0.5881214588271022,0.22516569441422152
full_bagnn,0,train,global,Cp,physical,4394,0.054553438130211684,0.02289801858619818,0.0006770549983536218,0.05019865371286869,0.08450841589147902,0.03902061479645514,0.0011537724186622595,0.07673579454421997,0.9760772610395863,0.04139209537085225,0.0012238930175407089,0.9855144751975173
full_bagnn,0,train,global,Cp,zscore,4394,0.07637701387965223,0.03205814974068212,0.0009479043105057353,0.07028013840317726,0.11831519078305623,0.05463043378099423,0.0016153278989800087,0.10743321105837822,0.9760772611589772,0.04139209472928951,0.001223892998570803,0.9855144750976561
full_bagnn,0,train,global,U,physical,4394,1.910657113717261,0.41293049570329177,0.012209644036932863,1.8169540166854858,2.7976097551648813,0.5762000789497235,0.01703724459983655,2.6645896434783936,0.9462514501140027,0.02032312113919133,0.0006009197126658561,0.9496257444059211
full_bagnn,0,train,global,U,zscore,4394,0.15239915646134478,0.032936448073587414,0.0009738740805144649,0.14492514729499817,0.2231448859580007,0.04595927043204141,0.0013589365232437734,0.2125348448753357,0.9462514506329769,0.020323121193912125,0.0006009197142838559,0.9496257430004404
full_bagnn,0,train,global,V,physical,4394,0.6532358488319785,0.17561577478003038,0.00519265619673449,0.6253732144832611,1.1163389051454307,0.3315659854102975,0.009803835509217238,1.062936007976532,0.9768707078697607,0.02092771705774976,0.0006187965733690314,0.9826789350379133
full_bagnn,0,train,global,V,zscore,4394,0.07666760760973707,0.02061130206180006,0.0006094407265408297,0.07339748740196228,0.13102011122131652,0.0389145379610448,0.001150635909214783,0.12475243955850601,0.9768707072675837,0.020927717692683562,0.0006187965921429312,0.9826789367051217
full_bagnn,0,train,interior,Cp,physical,4394,0.05462486525547331,0.022946808390869006,0.0006784976289024935,0.050222521647810936,0.08339862660011027,0.03868526778953674,0.001143856784854805,0.07553687319159508,0.9763944380772284,0.04134315118127248,0.0012224458220958015,0.9859896709824232
