model,split,region,variable,metric_space,num_seeds,MAE_mean_across_seeds,MAE_std_across_seeds,MAE_ci95_across_seeds,MAE_n_seeds,RMSE_mean_across_seeds,RMSE_std_across_seeds,RMSE_ci95_across_seeds,RMSE_n_seeds,R2_mean_across_seeds,R2_std_across_seeds,R2_ci95_across_seeds,R2_n_seeds
basic_gcn,train,farfield,Cp,zscore,3,0.021204881503810096,0.004944003139123016,0.005594666224764175,3,0.0266654852249532,0.005027917884193251,0.0056896246980485225,3,-4.326846109093367,1.3239788125225513,1.498223066670062,3
basic_gcn,train,farfield,U,physical,3,0.32357690017260615,0.03190617507611187,0.03610523598724885,3,0.3982173083128218,0.039467490105189025,0.04466166943148076,3,-10.969452649266684,2.2947867465471705,2.596795661869517,3
basic_gcn,train,farfield,U,zscore,3,0.025809370468498776,0.002544924414055279,0.002879853079223249,3,0.031762891084615934,0.00314803437945178,0.003562336252933576,3,-10.9694607493636,2.2947862889007338,2.596795143993822,3
basic_gcn,train,farfield,V,physical,3,0.29554950558593035,0.02236669258470528,0.025310295329935954,3,0.38081032103525275,0.030486868704201694,0.03449913963211447,3,-10.61368759436805,1.2311518980566314,1.393179524322377,3
basic_gcn,train,farfield,V,zscore,3,0.034687431008748444,0.0026250871572681945,0.0029705657627142426,3,0.04469414224754609,0.0035781188501832245,0.004049022647437688,3,-10.6137146313325,1.2311541924985707,1.3931821207278527,3
basic_gcn,train,global,Cp,physical,3,0.07376820989011895,0.001532859443418744,0.0017345937520838368,3,0.12204471059785621,0.0034340641966091818,0.003886009461120463,3,0.9531379558748819,0.0025160769067063995,0.002847209051601932,3
basic_gcn,train,global,Cp,zscore,3,0.10327846947178514,0.002146065167304573,0.002428501352001878,3,0.1708675174543075,0.00480782823865546,0.00544056981849822,3,0.9531379561400927,0.002516076774522895,0.0028472089020222155,3
basic_gcn,train,global,U,physical,3,2.78448422914426,0.04633264406498964,0.05243032246545022,3,3.988626374367824,0.06416171685872736,0.0726058176201074,3,0.8915013857823358,0.003303245222430302,0.003737973856004181,3
basic_gcn,train,global,U,zscore,3,0.22209795922755363,0.0036956169138079214,0.004181984223217125,3,0.31814357991953607,0.005117711620720618,0.005791235876441533,3,0.8915013854842931,0.003303245457552165,0.003737974122069616,3
basic_gcn,train,global,V,physical,3,0.9744517053996752,0.028223409215273613,0.031937794099458884,3,1.6163482391595514,0.059255834430778524,0.06705428904094511,3,0.9515287255764706,0.003923045663642337,0.0044393440810963115,3
basic_gcn,train,global,V,zscore,3,0.11436739292528757,0.0033124655572275914,0.003748407647047559,3,0.1897041529649904,0.0069546138530200375,0.007869886433095998,3,0.9515287244184379,0.003923045726366909,0.004439344152075846,3
basic_gcn,train,interior,Cp,physical,3,0.07346176692079615,0.0014687443770839371,0.0016620407245011143,3,0.11938369999076036,0.0033812800724527486,0.003826278601670779,3,0.9546514833550216,0.0024054832135809432,0.0027220605065484843,3
basic_gcn,train,interior,Cp,zscore,3,0.1028494368910794,0.002056301291358798,0.0023269239640379153,3,0.16714199529340434,0.004733928482219788,0.0053569443717267,3,0.954651483628532,0.002405483206135753,0.0027220604981234584,3
basic_gcn,train,interior,U,physical,3,2.8501015681812425,0.046336690850715595,0.05243490183459356,3,4.041348451132696,0.06470210623722197,0.0732173257682639,3,0.8821853615870916,0.003531707032041505,0.003996502731070192,3
basic_gcn,train,interior,U,zscore,3,0.22733177485442127,0.003695939793121042,0.0041823495955554835,3,0.32234883460338737,0.005160814690117813,0.005840011591131498,3,0.8821853611496051,0.003531707345409233,0.003996503085679158,3
